cpu_utilization,memory_usage,disk_io,network_latency,process_count,thread_count,context_switches,cache_miss_rate,temperature,power_consumption,uptime,status,screen_brightness,cpu_frequency,power_saver_active
4.24,86.38,1.99,14.59,155,2170,11631,12.33,48.61,21.36,20.45,0,80.3,800.0,1
13.74,30.66,7.61,8.16,71,994,6013,18.1,42.55,19.7,67.13,0,87.1,1455.9,0
7.33,43.93,1.19,12.46,115,2300,11946,7.38,51.68,16.7,26.13,0,28.2,1595.7,0
40.95,29.01,23.16,14.59,263,3156,21561,12.45,58.32,22.13,84.07,0,63.7,1632.0,1
16.37,46.77,3.28,6.1,166,3818,19139,7.07,50.76,19.3,61.06,0,99.5,1253.2,0
28.67,45.43,2.69,7.55,92,2024,12785,8.13,50.54,21.98,114.35,0,95.0,1971.5,0
25.05,37.07,3.51,10.09,218,3270,18938,6.86,49.6,19.26,27.41,0,37.0,1523.3,1
22.63,79.95,3.85,11.1,249,3237,19901,9.84,56.09,23.03,177.8,0,98.6,1701.2,0
9.79,72.2,16.81,4.68,61,671,5678,9.56,47.18,22.04,12.08,0,95.0,1014.4,0
19.33,58.65,15.27,19.06,111,2220,12051,3.69,48.94,21.97,146.56,0,76.7,1808.3,0
47.74,53.35,2.08,12.41,140,2240,16737,20.11,65.79,29.99,163.04,0,84.2,1836.4,1
40.22,68.39,19.33,10.5,188,1692,13916,15.71,55.73,30.53,123.23,0,87.0,2479.5,0
52.66,39.98,6.44,7.93,152,3344,21620,17.38,59.08,32.69,33.86,0,64.2,2541.3,0
56.19,58.58,9.17,6.63,191,1719,16984,16.65,67.4,37.8,17.99,0,79.4,2752.6,0
23.88,45.92,2.0,12.3,67,804,7119,12.94,46.08,18.11,166.0,0,42.7,1463.6,1
38.88,90.15,18.5,13.39,208,2080,16306,6.46,62.66,28.8,19.39,0,97.5,1794.4,0
19.68,34.63,7.08,39.72,277,2770,17826,10.14,52.02,18.31,28.81,0,50.4,1664.5,0
26.83,50.92,15.0,41.92,349,4886,27878,8.56,51.99,21.43,2.15,0,90.6,973.3,1
28.18,35.58,8.36,8.84,261,5220,27273,9.21,55.87,20.17,11.51,0,21.4,1818.3,1
38.97,66.28,0.75,6.85,309,3708,24437,12.18,57.78,20.83,6.45,0,45.5,1665.8,0
46.42,66.25,18.24,5.7,263,3419,22003,11.29,62.95,29.39,312.6,0,53.4,2260.0,0
24.62,44.53,12.06,12.84,140,1400,9788,9.19,52.85,16.47,100.11,0,38.0,1463.3,1
28.39,36.37,8.54,5.76,127,1905,11828,9.01,54.4,19.86,109.8,0,37.6,1475.2,1
23.23,49.21,3.38,5.32,123,1476,9875,13.44,51.77,19.85,57.15,0,54.8,1690.4,0
27.9,44.53,14.69,7.84,162,2430,15189,7.76,51.18,18.92,54.56,0,29.7,1533.6,1
26.27,55.96,4.83,8.45,87,957,8401,8.42,50.37,19.44,22.62,0,50.6,1618.4,0
35.49,79.3,8.41,7.81,143,1573,12745,8.87,61.3,22.01,4.33,0,96.0,913.2,1
13.58,64.92,0.87,4.62,131,1572,9729,12.07,46.96,19.31,44.65,0,77.3,1257.9,1
16.26,66.39,22.49,11.54,330,5940,30271,5.78,51.61,18.89,6.39,0,94.5,1118.1,1
43.62,54.94,1.42,11.41,263,3945,24135,15.77,59.12,28.48,93.24,0,98.7,2222.3,0
32.89,94.65,33.22,27.18,208,2288,16055,8.24,59.68,26.72,238.15,0,87.7,1620.5,1
19.36,56.75,30.33,5.78,107,1391,9620,5.39,53.13,19.92,0.51,0,94.9,800.0,1
58.4,65.88,53.15,16.71,226,4746,29751,12.9,70.55,39.03,62.38,0,84.7,2431.7,0
3.53,71.48,35.86,35.55,347,5205,26919,4.02,43.16,19.04,25.75,0,65.8,993.6,1
25.68,54.23,53.32,5.08,65,650,7468,12.27,53.2,19.18,57.38,0,42.6,895.4,1
24.28,58.11,32.74,6.33,243,3159,19218,5.48,48.98,21.68,257.07,0,68.2,1767.5,0
45.06,46.45,1.79,5.73,280,3920,26017,20.38,60.23,30.61,13.82,0,62.9,2295.6,0
20.12,55.27,8.64,15.93,68,1020,7239,9.87,51.3,18.54,176.62,0,23.7,1557.6,0
24.2,76.95,1.19,15.56,302,6040,30611,4.74,53.13,20.62,12.64,0,85.6,1385.5,1
27.77,72.46,11.82,21.58,86,1032,9199,18.97,53.97,26.1,31.74,0,75.1,2017.0,0
11.46,65.31,11.32,12.78,160,3200,16634,2.92,50.8,17.41,22.21,0,28.6,1297.0,0
29.58,68.65,38.3,35.89,195,2145,14994,17.79,56.23,23.24,71.52,0,21.1,1846.2,0
27.14,54.44,52.45,16.86,240,4080,23209,15.55,54.47,21.72,31.57,0,27.2,2046.4,0
48.17,69.22,4.51,25.92,125,2125,15577,6.32,60.07,35.46,149.67,0,97.8,2493.1,0
68.5,52.72,13.1,13.37,293,6153,36635,16.59,70.32,43.62,33.7,0,95.3,2481.4,1
47.7,30.5,9.37,9.67,63,1071,10883,7.95,58.72,27.42,13.31,0,44.2,2177.3,1
22.62,82.49,11.87,10.96,329,3619,22416,15.98,51.28,22.18,19.13,0,91.9,1552.6,0
10.82,51.94,11.38,27.75,84,840,5804,8.45,46.01,17.3,3.15,0,53.9,1173.7,0
16.27,70.81,36.82,19.62,228,4788,23366,9.88,50.29,19.71,95.75,0,80.7,1579.7,0
17.64,49.56,33.97,18.92,261,2349,14555,11.08,46.72,17.35,43.51,0,22.7,1120.3,0
10.49,14.65,1.96,22.1,259,4403,22436,6.42,42.04,14.2,71.7,0,22.2,1630.7,0
45.3,53.91,6.35,14.27,193,2509,18482,11.13,61.49,27.13,3.18,0,43.5,2268.0,0
39.52,27.37,20.96,65.98,320,6720,36358,7.53,59.66,22.03,37.73,0,42.1,2082.5,0
25.03,66.33,17.28,10.65,236,5192,27092,13.06,51.34,20.8,2.69,0,46.6,1656.2,1
23.64,51.56,14.96,13.01,96,768,6708,3.0,47.42,16.61,78.76,0,45.2,1088.1,1
36.1,73.28,76.27,9.31,142,1846,14033,5.11,57.22,28.86,113.96,0,74.9,2236.2,0
30.03,58.5,6.16,16.43,236,2832,19373,21.2,56.57,25.98,144.57,0,93.5,1901.8,0
21.4,39.55,10.86,4.24,271,2439,17454,6.31,52.62,16.94,119.63,0,20.2,1665.7,1
21.89,65.05,58.06,2.06,186,3162,17796,13.13,56.98,21.38,63.78,0,41.6,1784.5,0
44.26,31.61,17.84,8.26,197,3546,21868,10.83,57.3,22.86,40.03,0,27.0,1899.8,1
15.35,50.39,15.69,17.29,269,3228,18484,9.72,46.95,18.41,72.91,0,73.6,1353.8,1
44.34,27.04,2.52,22.55,326,7498,39437,9.57,64.17,22.13,71.32,0,23.0,1821.8,1
32.53,60.25,4.25,5.72,138,1932,13476,10.65,51.7,22.9,38.63,0,35.3,2152.2,0
56.57,58.71,7.11,4.48,155,2945,20877,9.17,66.01,24.03,32.18,0,53.2,1562.3,0
22.02,56.89,9.38,7.9,198,3762,20301,4.41,49.92,21.67,94.87,0,22.5,1951.5,0
10.45,40.96,10.31,7.81,303,2424,14817,8.49,44.17,17.75,11.03,0,74.9,1515.1,0
31.5,75.29,34.86,13.88,280,5040,28092,5.62,53.89,25.36,3.82,0,82.1,1513.9,1
13.56,68.63,1.7,13.13,123,2214,12946,3.62,54.59,21.92,33.02,0,94.8,1387.7,1
13.06,58.51,4.28,29.37,106,1272,8392,8.08,47.72,21.02,77.11,0,78.3,1702.4,0
54.48,46.29,2.33,9.5,195,2925,21003,13.15,63.97,28.18,35.22,0,82.8,1952.7,1
45.83,49.75,19.94,5.49,135,2430,17690,10.78,61.41,32.13,28.84,0,99.3,2395.9,0
25.14,54.77,52.89,14.63,185,2775,16907,14.85,54.61,20.12,43.03,0,53.6,1317.9,1
28.97,38.49,33.66,6.82,165,3630,19770,7.37,55.83,23.51,93.36,0,71.3,1926.2,0
27.92,67.8,19.27,6.89,285,5985,32056,12.61,53.47,26.7,34.26,0,86.3,2197.5,0
36.28,73.89,0.33,33.75,174,2610,17353,5.41,58.53,25.44,6.1,0,73.2,1814.3,0
21.56,80.64,6.39,21.29,147,1176,8804,7.21,54.28,21.34,102.18,0,60.2,1503.3,0
1.4,49.84,29.88,9.43,285,4275,21619,11.82,43.37,14.39,112.29,0,35.6,1058.7,0
8.29,75.66,15.88,36.35,123,2829,13272,2.36,50.7,18.3,32.11,0,52.5,1136.4,1
17.48,76.58,3.53,20.04,168,3696,19092,11.57,54.66,19.07,23.33,0,28.6,1770.0,0
21.44,45.52,9.42,15.38,260,3900,22385,10.51,53.07,17.79,6.64,0,68.3,1440.0,0
38.3,39.94,1.38,8.11,344,4128,25595,8.55,58.64,29.02,88.15,0,92.8,2283.2,0
48.25,71.3,11.03,3.54,130,2340,16747,9.55,65.31,33.51,18.25,0,77.9,2594.2,0
17.21,46.77,34.69,7.29,219,3942,21275,7.47,49.4,19.97,3.97,0,77.1,1600.7,0
26.89,43.99,0.59,9.07,318,4134,24465,5.38,53.6,25.41,17.84,0,88.5,2114.1,0
37.93,67.25,14.27,5.94,69,1587,12823,17.87,60.19,25.18,20.64,0,90.2,1563.3,0
17.19,34.21,3.98,13.12,227,2043,14476,14.29,48.62,17.2,10.1,0,73.9,1229.3,0
46.38,48.31,69.67,3.59,176,3696,23092,12.39,63.39,28.85,58.92,0,24.5,2285.4,0
7.67,27.04,1.01,27.07,142,1278,9140,13.14,45.85,15.27,30.84,0,34.9,1439.7,0
24.57,42.39,14.41,9.26,298,6556,32930,8.69,59.3,20.32,35.74,0,74.9,1261.4,1
24.47,45.14,4.44,18.98,233,1864,13367,10.81,49.11,19.65,84.39,0,67.4,1877.3,0
37.27,43.75,32.12,18.85,238,4046,24244,9.91,57.43,25.18,49.3,0,76.8,1834.1,1
11.17,48.55,1.95,5.81,198,1980,12828,12.89,46.22,17.47,76.3,0,73.7,1282.5,1
46.58,24.19,8.41,4.29,265,2385,18975,10.81,55.56,30.6,22.8,0,77.2,2376.9,0
40.29,39.9,3.08,8.3,238,4284,25317,17.57,60.34,25.53,335.2,0,47.7,2238.7,0
25.11,75.17,24.1,15.26,166,2490,14554,5.31,54.21,21.87,12.86,0,97.5,1542.1,1
21.79,59.47,6.5,13.22,92,1104,8082,11.48,53.3,19.35,76.15,0,79.5,1693.5,0
36.2,47.31,3.1,24.52,189,2646,17494,6.75,57.5,26.01,174.05,0,70.7,1802.4,1
40.91,45.17,19.41,15.42,177,1593,14122,15.44,59.22,23.55,5.24,0,21.1,2167.6,0
43.01,66.48,25.49,16.11,152,2280,16205,6.31,61.23,31.27,16.65,0,68.1,2312.9,0
17.05,56.29,9.31,7.5,141,1128,8660,10.1,51.11,20.39,126.38,0,86.8,1554.6,0
14.86,38.17,7.14,10.45,169,1859,11700,10.84,48.46,20.72,21.55,0,63.8,1680.0,0
14.77,47.0,15.0,10.62,69,966,5766,15.25,48.33,20.39,44.81,0,74.9,1707.1,0
44.57,36.45,15.81,17.65,243,5346,30178,13.9,58.94,26.14,86.6,0,28.3,2184.2,0
25.1,44.61,16.22,19.14,289,5202,28477,13.55,51.7,23.43,85.73,0,84.6,1477.6,1
12.37,65.28,4.84,10.6,273,2184,13611,6.83,46.23,16.66,24.62,0,21.9,1254.8,1
38.38,63.77,42.53,10.81,86,860,9347,14.54,61.58,29.53,49.0,0,72.8,2384.8,0
39.73,70.44,3.6,15.04,208,4784,27671,15.12,58.94,28.53,1.14,0,55.1,2377.8,0
21.89,57.13,7.03,38.85,248,2480,16770,9.67,50.82,19.43,0.33,0,22.3,2210.3,0
9.49,32.36,5.0,4.29,187,2244,13381,4.18,44.71,16.95,19.18,0,72.7,966.6,0
73.69,36.31,40.13,7.0,328,3280,27007,19.27,71.13,40.27,88.59,0,54.9,2345.7,1
23.59,62.11,26.44,7.17,74,1406,9782,7.91,50.47,23.42,38.83,0,84.8,1392.8,0
35.85,56.53,25.01,5.53,278,3058,20294,14.89,57.48,22.91,119.8,0,61.0,1280.7,1
22.58,37.61,0.1,7.56,282,3666,21301,5.88,47.16,20.97,80.23,0,85.7,1409.6,0
15.23,49.86,17.37,15.27,210,2310,14304,6.88,48.67,19.06,14.26,0,71.4,1353.2,1
32.85,83.5,3.93,21.49,158,1264,11500,9.57,57.54,21.11,22.62,0,48.0,1327.6,0
11.95,68.97,51.51,13.99,67,938,6448,2.95,47.37,18.8,122.75,0,20.6,1612.2,0
37.27,77.48,11.35,13.82,156,2340,16244,7.28,59.87,21.35,67.0,0,85.6,1048.8,1
58.57,37.31,12.48,7.02,215,3010,22851,12.91,68.5,23.21,28.74,0,47.1,1358.9,0
20.31,80.06,6.61,2.46,130,1560,11341,12.55,54.26,17.88,5.49,0,34.1,1168.4,0
18.73,47.2,11.54,15.25,229,3206,18664,4.98,51.65,19.6,152.37,0,44.2,1853.8,0
13.36,78.58,20.78,27.12,218,3052,17283,6.55,47.08,20.59,5.22,0,66.9,1162.7,0
19.31,60.37,12.38,21.65,72,576,5698,10.4,50.63,19.81,69.86,0,59.4,1738.9,0
21.99,64.43,15.38,11.51,179,2685,15116,6.3,50.9,22.38,0.68,0,59.6,1979.3,0
45.94,65.42,9.59,12.76,196,3136,20398,16.07,66.02,28.97,4.32,0,51.5,1765.3,1
33.2,56.48,18.9,28.29,62,1178,9983,8.49,58.23,24.96,131.65,0,95.1,2055.8,0
43.54,63.75,34.47,8.02,251,2008,17688,7.62,61.85,27.34,98.74,0,59.9,1875.4,1
19.61,39.72,0.79,9.28,80,1440,9703,7.77,48.37,20.44,0.55,0,75.8,1538.1,1
31.4,53.07,1.7,4.14,308,6776,35039,15.09,56.1,23.12,44.05,0,71.4,2038.9,0
29.87,66.71,17.36,16.1,136,2312,14410,13.67,56.98,20.23,36.38,0,34.2,1376.5,0
3.84,56.63,7.12,9.03,325,5850,29128,5.15,46.22,16.41,98.39,0,24.5,1431.6,0
4.39,49.74,4.96,10.18,287,6601,31811,9.82,42.44,19.11,32.93,0,85.9,971.0,0
4.96,58.51,2.95,18.34,282,6204,29875,8.83,48.65,15.41,49.59,0,44.2,800.0,0
23.96,34.54,12.75,7.76,296,2368,17282,8.38,51.88,21.33,41.15,0,84.0,2024.2,0
40.62,70.69,6.4,16.42,316,6320,35658,17.15,60.65,26.06,19.61,0,74.3,1747.5,1
14.5,23.82,10.64,16.94,97,2134,12111,6.42,44.87,13.57,18.57,0,58.2,800.0,1
9.11,54.63,47.75,9.81,242,2420,14546,7.87,51.58,17.8,107.59,0,28.3,1386.0,0
17.73,66.4,21.3,20.16,135,2025,12512,9.93,52.89,19.83,93.55,0,61.3,1460.8,1
25.68,56.22,23.84,11.45,102,1632,11217,13.0,54.24,21.81,33.6,0,59.0,1557.2,1
13.52,47.96,1.99,18.71,110,2200,11969,5.59,46.46,15.78,20.67,0,37.2,1124.3,0
10.43,71.49,5.9,8.42,152,2888,14809,10.6,50.4,17.93,68.57,0,77.2,1526.9,0
9.87,44.67,1.68,17.31,119,1071,7248,15.05,47.11,16.88,124.66,0,38.3,1442.4,0
67.99,80.27,51.88,9.85,263,2104,20576,13.42,69.58,47.55,38.57,0,64.4,2862.2,0
8.16,51.85,17.19,14.9,64,1344,8474,8.28,44.65,18.35,12.04,0,65.6,800.0,0
34.62,51.32,0.29,15.06,101,1818,13162,9.06,61.92,26.76,100.87,0,100.0,2135.1,0
66.97,65.92,9.68,9.59,317,5389,34377,14.58,72.94,46.37,35.27,0,93.0,2829.8,0
44.71,50.35,4.59,9.42,106,1166,11744,10.0,64.41,25.78,21.85,0,68.0,2117.2,0
10.4,56.44,11.65,10.73,113,2147,11581,14.6,48.47,21.74,60.58,0,80.8,1451.3,0
57.85,63.57,2.95,12.72,94,846,11868,10.86,69.93,33.67,15.39,0,79.0,2370.3,0
8.55,36.62,0.88,17.19,106,1696,9195,5.5,44.12,15.14,29.6,0,42.0,800.0,1
17.41,64.19,5.86,14.05,76,1216,8246,5.63,49.68,20.57,87.39,0,96.3,1405.9,0
22.0,29.6,5.25,2.02,132,1584,11385,4.25,48.04,17.28,17.02,0,63.5,1069.2,0
11.16,54.81,18.93,20.35,66,792,6254,8.09,49.92,18.84,425.88,0,54.5,1653.7,0
29.09,49.65,9.65,15.52,181,2896,17903,6.47,46.81,23.42,8.82,0,90.0,1986.3,0
14.76,35.33,5.17,24.7,77,1386,8645,9.97,49.14,21.09,30.87,0,92.4,999.8,0
66.71,80.37,12.67,20.27,317,7291,42429,19.91,71.64,49.59,12.05,0,98.5,2913.7,0
20.81,57.51,1.11,9.45,235,3290,18860,2.72,50.99,22.04,79.66,0,49.5,1806.1,0
40.3,45.21,16.29,6.05,70,1330,11959,7.08,57.82,30.43,173.65,0,80.6,2277.4,0
57.79,57.13,2.39,36.02,341,7502,41489,8.69,69.65,35.45,43.63,0,54.8,2428.4,0
35.1,92.3,4.92,26.31,185,3700,21494,5.33,61.87,26.39,4.31,0,48.8,1889.7,1
65.86,40.07,4.97,19.06,206,1854,18984,23.82,70.55,26.4,15.95,0,61.2,1432.2,1
43.72,64.87,9.41,7.56,289,3757,24835,10.09,60.89,27.24,77.48,0,56.0,2010.5,1
31.92,41.28,45.91,5.58,143,1859,12879,8.48,54.59,21.82,5.74,0,46.7,1527.6,1
23.06,62.23,5.89,9.39,65,1105,8970,5.06,54.36,19.24,9.36,0,60.7,1118.3,0
6.95,45.11,4.96,20.41,99,792,6246,3.44,45.42,19.55,17.56,0,95.3,854.8,0
24.44,52.55,2.77,2.87,224,2016,13632,5.14,51.27,19.75,136.63,0,92.1,1019.3,0
13.13,57.37,7.46,7.88,180,1620,11145,10.48,47.93,15.93,146.68,0,40.2,1375.8,1
49.78,74.8,3.01,60.75,124,992,11266,6.64,64.41,31.27,70.13,0,27.3,2314.0,0
13.08,32.89,2.22,9.84,317,7291,36098,4.66,47.48,15.62,3.86,0,67.3,821.8,0
28.3,80.49,29.21,12.46,289,3757,23532,8.15,54.97,29.53,16.5,0,96.9,2251.4,0
39.33,26.23,0.81,11.99,100,2200,15247,19.12,57.14,21.73,7.41,0,30.4,1849.5,1
11.82,59.91,18.61,34.28,89,1869,10166,3.69,43.55,21.52,2.31,0,89.1,1611.6,0
29.22,55.91,3.4,10.04,147,3234,18285,14.09,57.91,19.73,39.89,0,25.5,1438.4,1
18.36,53.03,0.18,4.15,292,2920,18390,5.7,53.99,18.22,42.69,0,41.0,1126.1,0
36.11,55.54,23.78,22.61,278,4448,25857,18.92,58.91,23.29,121.03,0,32.0,1718.4,1
8.73,62.83,18.17,6.41,345,5175,27495,8.59,48.22,19.09,81.66,0,99.4,1201.7,1
65.76,61.93,6.1,4.98,185,3515,24163,24.68,70.27,45.21,22.38,0,81.6,2753.4,0
31.38,52.31,1.24,30.44,196,2744,17333,12.92,52.13,22.33,32.33,0,64.0,1614.6,1
59.08,65.55,6.71,19.03,160,3360,23125,8.79,68.47,43.98,266.24,0,68.7,2941.5,0
44.87,51.56,3.0,9.79,331,3972,26300,9.76,59.97,26.12,95.22,0,52.2,1838.4,1
16.22,56.4,40.44,24.36,110,1100,8315,9.16,52.15,17.41,60.87,0,25.8,1217.9,0
40.97,72.37,11.31,21.87,68,1496,12012,9.15,59.65,26.42,216.73,0,42.3,1993.1,1
53.57,72.8,49.8,8.09,238,4284,28086,8.16,69.4,31.87,21.96,0,37.6,2228.9,1
47.07,70.72,6.49,13.66,272,3808,25232,12.21,62.62,29.7,26.5,0,97.3,1922.4,1
30.76,39.62,12.19,11.43,204,2652,17929,5.51,55.27,20.33,314.95,0,51.9,1591.3,1
14.98,61.39,3.16,8.17,220,1980,12914,1.76,43.51,19.19,37.95,0,86.2,1373.2,0
37.56,61.92,24.79,12.51,349,4188,26152,9.5,58.9,26.92,80.43,0,86.4,1909.0,0
35.86,81.51,0.63,19.32,149,1788,13586,15.14,57.37,23.78,116.69,0,44.5,1662.5,1
20.37,66.89,17.84,6.95,161,1610,11235,11.1,52.82,20.37,63.06,0,65.5,1376.2,1
11.12,45.59,7.46,19.96,148,2812,14735,4.26,49.34,16.71,182.65,0,71.8,1219.7,1
32.47,49.27,12.96,4.0,285,5415,29478,5.66,57.04,19.86,30.31,0,29.2,1737.3,1
13.41,16.86,13.46,13.9,183,1647,10349,4.01,46.48,17.34,147.08,0,46.1,800.0,1
20.39,53.84,18.61,7.83,109,981,7691,10.81,43.95,18.06,56.54,0,21.9,1450.4,1
38.91,49.46,3.43,31.39,107,2354,16041,6.75,59.12,28.49,102.06,0,85.4,2354.5,0
12.78,47.13,11.37,4.63,138,2622,14265,6.18,44.59,19.74,39.86,0,95.9,1163.4,1
8.36,43.31,8.35,10.55,253,3036,16905,5.66,47.38,18.56,10.63,0,78.2,1541.4,0
5.95,78.06,4.97,7.39,104,2392,12221,12.9,46.77,21.95,48.24,0,85.6,1219.1,0
34.89,14.68,10.27,8.67,349,6631,35056,24.38,53.44,20.29,0.99,0,55.0,1830.4,1
36.05,35.97,45.55,6.16,181,3258,20614,15.26,58.76,23.09,8.57,0,48.4,1862.9,0
21.26,90.8,44.61,13.51,233,1864,14186,7.04,58.9,25.31,72.57,0,93.7,1461.8,1
45.01,69.76,4.9,13.96,146,1898,14959,8.51,64.45,32.0,45.7,0,32.9,2707.6,0
23.18,59.59,32.34,4.32,138,3036,16777,5.4,50.99,20.35,9.07,0,55.1,1540.8,1
23.85,54.93,31.4,17.71,189,3024,17539,5.5,52.35,15.81,43.87,0,26.5,1201.2,0
21.42,46.22,4.31,4.7,119,952,7428,5.3,51.55,22.09,97.94,0,83.2,1783.9,0
5.74,35.85,13.71,12.4,134,2680,13487,7.15,43.79,16.6,52.9,0,46.0,1407.4,0
17.23,60.51,30.6,35.07,88,2024,10473,6.54,49.64,19.95,56.95,0,70.8,1509.8,0
6.03,67.0,10.85,7.27,119,2737,13504,5.54,43.75,20.36,10.81,0,84.9,1491.4,0
18.47,44.6,6.93,10.18,128,2432,13853,10.51,51.26,18.88,42.66,0,38.8,1501.6,0
40.14,27.75,15.78,7.59,224,2240,17493,12.14,61.75,30.32,20.25,0,97.0,2426.9,0
4.58,64.97,2.84,8.15,143,2574,12708,4.65,45.83,18.59,69.08,0,73.1,1409.6,0
17.53,66.63,2.65,14.68,327,5559,29636,3.91,55.61,21.21,319.93,0,75.9,1234.4,1
17.34,67.48,26.81,32.07,224,2688,16090,3.05,48.56,21.61,67.5,0,94.3,1129.3,1
37.43,52.62,0.64,11.93,245,5390,30130,10.47,58.31,25.49,40.2,0,73.3,1904.8,0
14.16,22.62,24.42,24.92,114,1140,8110,13.06,45.31,18.54,190.69,0,51.8,1595.4,0
42.9,36.62,5.15,7.88,80,720,9641,13.43,61.82,24.91,15.21,0,57.0,2048.8,0
15.17,74.29,9.9,23.69,285,5700,29038,12.37,52.78,19.16,11.23,0,80.0,1448.6,0
44.14,34.74,11.76,33.04,208,4784,27410,14.66,57.57,21.29,65.63,0,20.0,1723.4,0
40.97,65.5,21.86,25.31,246,2460,18733,12.24,59.38,28.59,113.39,0,85.8,2021.3,0
26.98,39.68,32.29,18.87,184,3496,20124,5.96,53.71,20.08,74.34,0,58.2,1441.2,1
22.51,38.17,24.46,17.8,280,3920,22723,7.77,50.64,17.43,1.67,0,57.1,1076.2,0
8.89,82.39,12.74,7.73,347,6246,30750,3.2,48.57,21.51,37.54,0,50.1,1373.4,0
27.24,82.94,6.42,5.03,245,3430,21063,12.42,61.54,24.24,19.03,0,55.6,1369.1,1
44.31,57.45,11.22,18.15,172,3612,22473,17.66,60.99,26.58,141.6,0,60.2,2291.9,0
10.9,47.73,0.46,7.6,213,4473,21966,3.7,48.77,17.1,32.33,0,59.2,878.3,1
44.98,70.48,4.22,7.97,72,864,10030,18.15,64.94,31.38,0.64,0,61.9,2330.6,0
48.99,31.31,6.84,4.99,330,2970,22741,7.37,58.81,30.02,12.52,0,27.6,2626.8,0
14.1,73.17,5.78,8.63,61,1220,8255,8.05,50.82,18.19,121.12,0,31.8,1429.0,0
26.81,85.31,1.5,23.38,300,2400,16965,7.34,57.33,20.93,195.7,0,33.9,1544.7,1
62.3,63.71,0.78,21.62,220,4840,30251,11.48,65.91,38.85,2.46,0,64.1,2538.2,0
17.44,37.56,8.19,5.52,90,900,7189,12.84,51.19,17.88,100.05,0,84.5,934.6,1
42.09,77.87,1.17,6.82,124,1736,13134,7.74,62.52,30.22,15.24,0,57.5,2386.5,0
14.04,59.69,5.06,4.14,266,2128,13921,10.1,49.54,21.37,36.72,0,78.9,1785.3,0
23.85,52.89,9.66,15.17,241,5302,27704,15.53,53.83,18.83,87.86,0,36.4,1130.9,1
15.7,40.46,3.54,13.63,162,2268,12174,6.1,50.76,14.94,132.15,0,21.5,1445.4,0
22.78,37.9,1.24,14.35,176,2288,14890,10.71,48.35,20.05,1.57,0,94.7,1530.5,1
37.88,72.3,8.49,9.34,202,4646,26149,7.26,64.08,23.63,189.85,0,68.2,2077.5,0
26.68,53.86,8.93,18.07,239,5019,27092,12.46,56.13,19.23,171.54,0,34.8,1122.8,0
27.07,53.7,37.09,10.23,159,1749,13010,8.04,51.15,22.47,26.67,0,77.3,1643.8,1
14.05,56.89,2.05,21.64,230,3910,20515,3.83,48.03,20.88,87.04,0,89.4,1327.4,1
55.73,25.71,14.32,6.31,327,4251,27705,10.51,65.86,31.47,15.07,0,41.6,2503.8,0
54.58,54.67,5.78,20.53,264,2904,20749,13.52,65.76,35.58,93.24,0,51.0,2435.2,0
36.54,54.9,1.98,15.8,64,768,8901,6.12,58.5,22.54,10.0,0,26.1,2046.0,0
67.09,77.43,7.49,18.1,193,1930,19210,15.98,71.36,36.38,86.36,0,78.0,1977.2,0
39.52,67.41,8.38,10.03,64,1088,9959,6.56,59.26,22.14,29.55,0,78.0,1574.4,0
3.08,36.79,6.78,34.9,98,1568,8660,5.31,38.91,17.67,96.41,0,63.8,1135.7,0
9.33,49.1,21.77,7.93,298,2384,15569,5.14,43.15,18.49,140.82,0,50.7,1342.2,0
17.71,70.69,27.41,47.88,305,4270,24186,11.36,51.31,21.72,7.36,0,75.3,1433.0,1
37.93,35.46,2.42,15.93,75,900,9598,8.57,61.5,25.11,5.28,0,99.8,1790.6,1
6.87,80.44,2.76,24.23,254,4064,20490,6.49,44.7,17.44,13.58,0,52.3,1132.8,0
28.27,54.39,8.2,29.16,219,4380,25287,12.65,58.57,26.03,43.02,0,75.5,2049.7,0
41.37,63.04,5.79,19.44,340,3060,21943,7.26,62.82,30.9,143.17,0,85.3,2375.4,0
19.29,48.37,25.69,37.55,142,1846,12176,7.15,49.81,22.88,56.95,0,95.3,1917.7,0
29.72,48.17,86.22,21.51,94,1974,12593,7.54,56.31,24.87,10.0,0,65.0,1750.8,0
34.28,41.17,3.0,18.92,174,3306,20498,9.69,58.18,24.9,3.17,0,72.9,2287.0,0
36.27,78.05,21.57,16.16,233,5359,29128,14.77,59.34,26.79,12.31,0,38.2,2165.6,0
21.91,63.88,14.02,15.34,86,860,8120,8.93,49.19,20.63,24.8,0,27.2,1657.7,1
44.51,40.5,15.51,23.85,72,792,9980,12.3,56.77,28.63,77.63,0,92.9,2229.4,1
19.58,65.58,4.61,7.37,176,3872,21744,5.62,46.8,21.66,143.89,0,80.7,1714.3,0
28.16,69.11,1.53,11.13,90,990,7806,8.3,56.67,26.53,82.2,0,90.6,1932.9,0
25.68,71.22,11.75,16.54,275,4950,27147,7.17,54.64,21.71,0.24,0,30.3,1622.7,1
23.16,59.22,14.26,7.88,249,2241,15794,14.32,53.76,21.84,101.47,0,55.3,1670.3,0
30.7,57.56,49.47,21.74,306,6120,32149,9.42,52.13,25.16,96.74,0,75.2,1615.1,0
50.86,41.03,16.87,10.73,209,1672,16617,14.71,65.33,27.76,1.45,0,98.4,1736.2,0
6.03,74.97,8.8,5.66,232,2320,12786,6.47,45.28,18.98,60.12,0,48.5,1103.3,1
